Property Address,Unit,Bedrooms,Area,dummy,Listing Link,Parking,Zip Code,Subsidy,Ground Floor / ADA,Accepts Down Voucher
1427 15th St,5,1-Bedroom,Santa Monica,Link,https://www.affordablehousing.com/santa-monica-ca/1427-15th-st-825362/,No Parking,90404,BC,-,-
12811 Matteson Ave,7,1-Bedroom,Mar Vista,Link,https://www.affordablehousing.com/los-angeles-ca/12806-matteson-ave-795915/,1 Space,90066,BC,Yes,-
3588 S Centinela Ave,9,1-Bedroom,Mar Vista,Link,https://www.affordablehousing.com/los-angeles-ca/3588-s-centinela-ave-781337/,1 Space,90066,BC,-,-
3855 Motor Ave,211,1-Bedroom,Culver City,Link,https://www.affordablehousing.com/culver-city-ca/3855-motor-ave-846293/,No Parking,90232,BC,Yes,-
9920 Venice Blvd,Multiple,1-Bedroom,Culver City,Link,https://www.affordablehousing.com/los-angeles-ca/9921-venice-blvd-869381/,No Parking,90232,HACLA / BC,Yes,-
8833 Reading Ave,Multiple,1-Bedroom,Westchester,Link,https://www.affordablehousing.com/westchester-ca/8833-reading-ave-822435/,No Parking,90045,HACLA / BC,Yes,-
1534 Meadowbrook Ave,1534 1/4,1-Bedroom,Mid-City,Link,https://www.affordablehousing.com/los-angeles-ca/1534-meadowbrook-ave-802743/,No Parking,90019,HACLA / BC,Yes,-
4639 Lomita St,Multiple,1-Bedroom,Mid-City,Link,https://www.affordablehousing.com/los-angeles-ca/4639-lomita-st-840896/,1 Space,90019,HACLA / BC,Yes,-
6500 Romaine St,9,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/6500-romaine-st-809022/,No Parking,90038,HACLA / BC,Yes,-
3977 Beverly Blvd,Multiple,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/3977-beverly-blvd-883395/,No Parking,90004,HACLA / BC,Yes,-
328 N Kingsley Dr,1/2,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/328-n-kingsley-dr-846263/,No Parking,90004,HACLA / BC,-,-
5111 Harold Way ,204,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/5111-harold-way-840002/,No Parking,90027,HACLA / BC,-,-
5443 Harold Way,Multiple,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/5443-harold-way-883983/,1 Space,90027,HACLA / BC,-,-
1415 N Hobart Blvd,1417 1/4,1-Bedroom,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1415-n-hobart-blvd-781417/,1 Space,90027,HACLA / BC,Yes,-
800 S Western Ave,605,1-Bedroom,Koreatown,Link,https://www.affordablehousing.com/los-angeles-ca/800-s-western-ave-807426/,No Parking,90010,HACLA / BC,-,-
1221 Myra Ave,PH619,1-Bedroom,Silver Lake,Link,https://www.affordablehousing.com/los-angeles-ca/1221-myra-ave-781431/,No Parking,90029,HACLA / BC,Yes,-
3015 1/8 London St,1/8,1-Bedroom,Silver Lake,Link,https://www.affordablehousing.com/los-angeles-ca/3015-london-st-850101/,No Parking,90026,HACLA / BC,-,-
2921 Leeward Ave,1/2,1-Bedroom,Westlake,Link,https://www.affordablehousing.com/los-angeles-ca/2921-leeward-ave-884077/,No Parking,90005,HACLA / BC,-,-
2233 W 14th St,3/4,1-Bedroom,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/2233-w-14th-st-846319/,No Parking,90006,HACLA / BC,-,-
1408 S St Andrews Pl,5,1-Bedroom,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/1408-s-st-andrews-pl-680185/,1 Space,90019,HACLA / BC,-,-
1510 S St Andrews,204,1-Bedroom,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/1510-s-st-andrews-pl-782505/,1 Space,90019,HACLA / BC,-,-
3809 W Adams ,-,1-Bedroom,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/3809-w-adams-blvd-883372/,No Parking,90018,HACLA / BC,-,-
2618 West Blvd,3/4,1-Bedroom,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/2618-west-blvd-838159/,No Parking,90016,HACLA / BC,-,-
2416 La Salle Ave,2416,1-Bedroom,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/2416-s-la-salle-ave-883573/,1 Space,90004,HACLA / BC,Yes,-
1919 W MLK Blvd,8,1-Bedroom,Crenshaw,Link,https://www.affordablehousing.com/los-angeles-ca/1919-w-martin-luther-king-jr-blvd-883559/,No Parking,90062,HACLA / BC,Yes,-
6210 10th Ave,Multiple,1-Bedroom,Crenshaw,Link,https://www.affordablehousing.com/los-angeles-ca/6210-10th-ave-782015/,No Parking,90043,HACLA / BC,Yes,-
4325 S Main St,207,1-Bedroom,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/4325-s-main-st-783168/,No Space,90037,HACLA / BC,Yes,-
5118 Woodlawn Ave,1/4,1-Bedroom,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/5118-woodlawn-ave-843446/,No Parking,90011,HACLA / BC,-,-
719 W 47th St,1,1-Bedroom,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/719-w-47th-st-675479/,No Parking,90037,HACLA / BC,-,-
727 W 81st St,5,1-Bedroom,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/727-w-81st-st-675484/,1 Space,90044,HACLA / BC,-,-
318 W 84th Pl,1/8,1-Bedroom,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/318-w-84th-pl-854044/,No Parking,90003,HACLA / BC,-,-
805 S Centre St,807,1-Bedroom,San Pedro,Link,https://www.affordablehousing.com/san-pedro-ca/805-s-centre-st-785467/,No Parking,90731,HACLA / BC,-,-
6315 Cherry Ave,Multiple,1-Bedroom,Long Beach,Link,https://www.affordablehousing.com/long-beach-ca/6501-cherry-ave-821805/,No Parking,90805,BC,-,-
5740 Camellia Ave,105,1-Bedroom,North Hollywood,Link,https://www.affordablehousing.com/north-hollywood-ca/5740-camellia-ave-812051/,1 Space,91601,BC,-,-
11460 Killion St,Multiple,1-Bedroom,North Hollywood,Link,https://www.affordablehousing.com/north-hollywood-ca/11460-killion-st-830227/,No Parking,91601,HACLA / BC,Yes,-
211 S Avenue 57,203,1-Bedroom,Highland Park,Link,https://www.affordablehousing.com/los-angeles-ca/211-s-avenue-57-883571/,1 Space,90042,HACLA / BC,Yes,-
18541 Vincennes,218,1-Bedroom,Northridge,Link,https://www.affordablehousing.com/northridge-ca/18541-vincennes-st-806304/,1 Space,91324,BC,-,-
1559 N Hill Ave,13,1-Bedroom,Pasadena,Link,https://www.affordablehousing.com/pasadena-ca/1559-n-hill-ave-785468/,No Parking,91104,BC,-,-
8555 Independence Ave,203,1-Bedroom,Canoga Park,Link,https://www.affordablehousing.com/canoga-park-ca/8555-independence-ave-797421/,1 Space,91304,HACLA / BC,Yes,-
610 N Soto St,Multiple,1-Bedroom,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/610-n-soto-st-817392/,No Parking,90033,HACLA / BC,Yes,-
228 N Soto St,Multiple,1-Bedroom,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/228-n-soto-st-850546/,No Parking,90033,BC,Yes,-
2522 Folsom St ,2,1-Bedroom,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/2522-folsom-st-847049/,1 Space,90033,BC,-,-
10015 Alondra Blvd,22,1-Bedroom,Bellflower,Link,https://www.affordablehousing.com/bellflower-ca/10015-alondra-blvd-813787/,1 Space,90706,BC,-,-
1427 15th St,7,2-Bedrooms,Santa Monica,Link,https://www.affordablehousing.com/santa-monica-ca/1427-15th-st-854084/,No Parking,90404,BC,-,-
12540 Pacific Ave,6,2-Bedrooms,Mar Vista,Link,https://www.affordablehousing.com/los-angeles-ca/12540-pacific-ave-676987/,1 Space,90066,HACLA / BC,-,Yes
9920 Venice Blvd,311,2-Bedrooms,Culver City,Link,https://www.affordablehousing.com/los-angeles-ca/9921-venice-blvd-882863/,No Parking,90232,HACLA / BC,Yes,-
8833 Reading Ave,106,2-Bedrooms,Westchester,Link,https://www.affordablehousing.com/westchester-ca/8833-reading-ave-822438/,No Parking,90045,HACLA / BC,Yes,-
2470 Purdue Ave,8,2-Bedrooms,West LA ,Link,https://www.affordablehousing.com/los-angeles-ca/2470-purdue-ave-836992/,1 Space,90064,BC,-,Yes
1534 Meadowbrook Ave,1534,2-Bedrooms,Mid-City,Link,https://www.affordablehousing.com/los-angeles-ca/1534-meadowbrook-ave-802743/,No Parking,90019,HACLA / BC,-,-
3977 Beverly Blvd,120,2-Bedrooms,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/3977-beverly-blvd-883400/,No Parking,90004,HACLA / BC,Yes,-
226 N Berendo St,Multiple,2-Bedrooms,Koreatown,Link,https://www.affordablehousing.com/los-angeles-ca/226-n-berendo-st-807941/,No Parking,90004,BC,Yes,-
1723 Miramar St,1/2,2-Bedrooms,Westlake,Link,https://www.affordablehousing.com/los-angeles-ca/1723-miramar-st-794381/,No Parking,90026,HACLA / BC,-,Yes
2816 San Marino St,301,2-Bedrooms,Westlake,Link,https://www.affordablehousing.com/los-angeles-ca/2816-san-marino-st-791730/,1 Space,90006,HACLA / BC,-,Yes
1245 Magnolia Ave,4,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1245-magnolia-ave-821760/,No Parking,90006,HACLA / BC,Yes,-
1449 Constance St,-,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1449-constance-st-842000/,No Parking,90015,HACLA / BC,-,Yes
1345 Constance St,5,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1345-constance-st-884080/,1 Space,90015,HACLA / BC,-,-
1550 2nd Ave,7,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1550-2nd-ave-801007/,1 Space,90019,HACLA / BC,-,-
3617 Venice Blvd ,204,2-Bedrooms,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/3617-venice-blvd-832488/,1 Space,90019,HACLA / BC,-,-
1026 W 22nd St,19,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/1026-w-22nd-st-676661/,No Parking,90007,HACLA / BC,-,Yes
2130 W 54th St,Multiple,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/2130-w-54th-st-850526/,1 Space,90062,HACLA / BC,-,Yes
7802 Crocker St,7802,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/7802-crocker-st-841808/,No Parking,90003,HACLA / BC,-,-
620 W 84th St,Multiple,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/620-w-84th-st-843593/,1 Space,90044,HACLA / BC,-,-
11120 Huston St,205,2-Bedrooms,North Hollywood,Link,https://www.affordablehousing.com/north-hollywood-ca/11120-huston-st-812054/,No Parking,91601,HACLA / BC,Yes,-
228 N Soto St,409,2-Bedrooms,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/228-n-soto-st-850550/,No Parking,90016,BC,Yes,-
10015 Alondra Blvd,Multiple,2-Bedrooms,Bellflower,Link,https://www.affordablehousing.com/bellflower-ca/10015-alondra-blvd-840905/,1 Space,90706,BC,-,Yes
5762 Morley St,311,3-Bedrooms,Westchester,Link,https://www.affordablehousing.com/westchester-ca/5762-morley-st-851194/,1 Space,90045,HACLA / BC,Yes,-,,,,bany
1419 N New Hampshire Ave,Multiple,3-Bedrooms,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821332/,No Parking,90017,HACLA / BC,Yes,-
4200 Willimet Ave,A,3-Bedrooms,Atwater Village,Link,https://www.affordablehousing.com/los-angeles-ca/4200-willimet-st-811162/,2 Spaces,90039,HACLA / BC,-,-
2525 Hauser Blvd,A,3-Bedrooms,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/2525-hauser-blvd-847678/,2 Spaces,90016,HACLA / BC,-,-
4805 St Andrews Pl,-,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/4805-s-st-andrews-pl-824172/,2 Spaces,90062,HACLA / BC,-,-
492 E 41st St,496,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/492-e-41st-st-854037/,No Parking,90011,HACLA / BC,-,Yes
1426 E 51st St,Multiple,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/1426-e-51st-st-816306/,No Parking,90011,HACLA / BC,-,Yes
1536 226th St,Multiple,3-Bedrooms,Torrance,Link,https://www.affordablehousing.com/torrance-ca/1536-w-226th-st-841799/,No Parking,90501,HACLA / BC,-,Yes
1237 N Kenmore Ave,1239,4-Bedrooms,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1237-n-kenmore-ave-848176/,2 Spaces,90029,HACLA / BC,-,-
2728 Oregon St,2734,5-Bedrooms,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/2728-oregon-st-843687/,No Parking,90023,HACLA / BC,-,Yes
12520 Pacific Ave,6,Studio,Mar Vista,Link,https://www.affordablehousing.com/los-angeles-ca/12520-pacific-ave-674332/,No Parking,90066,HACLA / BC,-,-
3800 Mentone Ave,409,Studio,Culver City,Link,https://www.affordablehousing.com/culver-city-ca/3800-mentone-ave-813424/,No Parking,90232,BC,Yes,-
1419 N New Hampshire Ave,Multiple,Studio,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821329/,No Parking,90017,HACLA / BC,Yes,-
800 N Vermont,Multiple,Studio,Silver Lake,Link,https://www.affordablehousing.com/los-angeles-ca/800-n-vermont-ave-801015/,No Parking,90029,BC,-,-
800 S Western Ave,Multiple,Studio,Koreatown,Link,https://www.affordablehousing.com/los-angeles-ca/800-s-western-ave-807909/,No Parking,90010,HACLA / BC,Yes,-
